id,created_at,text,hashtags,retweets
1270354199692431361,2020-06-09 13:56:57,"RT @EddieDonovan: Finally, some respect. ;-) https://t.co/F3WNaUV8cy",[],45
1270353508928192516,2020-06-09 13:54:13,RT @EddieDonovan: Does it seem that Democrats set forth a “16 Year Plan” to Destroy America years ago?Wasn’t part 1 completed by Barack H…,[],14
1270352389040672770,2020-06-09 13:49:46,Does it seem that Democrats set forth a “16 Year Plan” to Destroy America years ago?Wasn’t part 1 completed by Ba… https://t.co/G7UzUwyPG4,[],14
1270349972156882945,2020-06-09 13:40:09,RT @cjsnowdon: They want to topple the statue of the guy who abolished slavery. 🥴 https://t.co/XH2iyC9CIO,[],442
1270344568370876417,2020-06-09 13:18:41,RT @EddieDonovan: Kneeling in African scarves will never make up for the damage Democrats have done to black America for the past 175 years.,[],55
1270344552168263680,2020-06-09 13:18:37,RT @EddieDonovan: @FogCityMidge  I was filming as BLM protested a police station in San Francisco. They asked if anyone else wanted to spea…,[],5
1270344534682144769,2020-06-09 13:18:33,RT @EddieDonovan: Have Speaker Pelosi and Senator Schumer given up their police details yet?,[],38
1270344488217710592,2020-06-09 13:18:22,RT @EddieDonovan: Socialists hate these words: “We hold these truths to be sacred &amp; undeniable; that all men are created equal &amp; independ…,[],25
1270344469561442304,2020-06-09 13:18:18,RT @EddieDonovan: If someone demands that you get on your knees just because of the color of your skin. THEY ARE THE RACIST!,[],35
1270344455351144449,2020-06-09 13:18:14,RT @EddieDonovan: The attack on the statues is an attack on the UK itself. It is designed to undermine their heritage and culture and to…,[],14
1270344308173012992,2020-06-09 13:17:39,"RT @EddieDonovan: “We believe now it’s time for us to hear, to listen… I think it’s important that we listen first and then I think Preside…",[],5
1270344294935773185,2020-06-09 13:17:36,"RT @EddieDonovan: Abolishing police would only take us farther away from the safety, justice, and equal protection of the laws that every s…",[],5
1270344263671447552,2020-06-09 13:17:28,"RT @EddieDonovan: It’s Tuesday June 9th, 2020 and Barack Obama was the most corrupt President in US history. #Obamagate","[{'text': 'Obamagate', 'indices': [110, 120]}]",35
1270344235921936386,2020-06-09 13:17:22,"RT @EddieDonovan: This is Georgia State Trooper O’Neal Saddler.He was asked to kneel today, and this was his response.Will you kneel?…",[],29
1270344191252533249,2020-06-09 13:17:11,RT @EddieDonovan: America does not have a white supremacist problem. We have a totalitarian white liberals trying to impose Socialism throu…,[],82
1270344183417581574,2020-06-09 13:17:09,RT @EddieDonovan: Now that Democrats have vaccinated us from Covid-19 thanks to their murderous violent riots President Trump will be resum…,[],12
1270344038848368640,2020-06-09 13:16:35,RT @samanthamarika1: If “George Floyd's murder isn't being used for a political agenda” then why are Pelosi and Schumer wearing kente stole…,[],2483
1270343993319096320,2020-06-09 13:16:24,Now that Democrats have vaccinated us from Covid-19 thanks to their murderous violent riots President Trump will be… https://t.co/FBaisCI83t,[],12
1270343673339920384,2020-06-09 13:15:08,America does not have a white supremacist problem. We have a totalitarian white liberals trying to impose Socialism… https://t.co/7Yfs0b97ah,[],82
1270343356263038979,2020-06-09 13:13:52,RT @yogagenie: Judge blocks removal of Robert E. Lee monument in Richmond  https://t.co/50WTolTe7l,[],401
1270343292924952579,2020-06-09 13:13:37,"This is Georgia State Trooper O’Neal Saddler.He was asked to kneel today, and this was his response.Will you kn… https://t.co/vyXgBHg8fv",[],29
1270343055653167104,2020-06-09 13:12:40,"RT @GeraldoRivera: 18 black men were killed Sunday in #Chicago by other black men. It was most violent single day in 6 decades, per Chicago…","[{'text': 'Chicago', 'indices': [54, 62]}]",12564
1270343033809260546,2020-06-09 13:12:35,RT @gatewaypundit: Chicago Mayor Now Pleading With Walmart And Other Companies Not To Leave The City https://t.co/AihnWwifpM via @gatewaypu…,[],743
1270343016847478784,2020-06-09 13:12:31,"RT @DiamondandSilk: If Black Lives mattered to Mitt Romney, why hasn't he donated money to all of the black lives that had their businesses…",[],4597
1270342974564708353,2020-06-09 13:12:21,RT @brokebackUSA: Today I was terminated by my employer of 4 yrs for my political/Pro-Trump opinionsProgressive trolls ran a smear campai…,[],4364
1270342867764916224,2020-06-09 13:11:56,"It’s Tuesday June 9th, 2020 and Barack Obama was the most corrupt President in US history. #Obamagate","[{'text': 'Obamagate', 'indices': [92, 102]}]",35
1270342786353696772,2020-06-09 13:11:36,"RT @laralogan: Also what I remember from that mob in Egypt - it only took a few trained, paid instigators to turn a celebratory crowd into…",[],5149
1270342671199014914,2020-06-09 13:11:09,"RT @realDonaldTrump: ...Crooked Hillary Clinton in 2016. They are called SUPPRESSION POLLS, and are put out to dampen enthusiasm. Despite 3…",[],29487
1270342634112978946,2020-06-09 13:11:00,RT @realDonaldTrump: https://t.co/wZc0PgCmnJ,[],17079
1270342617692352512,2020-06-09 13:10:56,RT @realDonaldTrump: https://t.co/hhEuC5mhu9,[],16163
1270342608766808065,2020-06-09 13:10:54,RT @realDonaldTrump: https://t.co/EapArqyn2h,[],18389
1270342580392296448,2020-06-09 13:10:47,RT @realDonaldTrump: https://t.co/hkZ6O9anzj,[],26719
1270342570321891328,2020-06-09 13:10:45,RT @realDonaldTrump: “Democrats &amp; Activists call to Defund Police Departments. They’ve gone so far Left that they eat their young.” @mirand…,[],13701
1270342566022729729,2020-06-09 13:10:44,RT @GOP: Democrats’ calls to defund the police are dangerous! Doing so would weaken the rule of law &amp; cause chaos in the US. President…,[],3409
1270342530257870848,2020-06-09 13:10:35,"Abolishing police would only take us farther away from the safety, justice, and equal protection of the laws that e… https://t.co/Tn4HQlxCil",[],5
1270342417758203904,2020-06-09 13:10:08,"“We believe now it’s time for us to hear, to listen… I think it’s important that we listen first and then I think P… https://t.co/fW8tWWEDJX",[],5
1270342218218422272,2020-06-09 13:09:21,RT @GOP: The Transition to Greatness has BEGUN as the stock market continues to SURGE!https://t.co/ci53LzN6BM,[],1987
1270342209058099206,2020-06-09 13:09:19,RT @GOP: “We all support the notion that we can do better but this notion of defunding the police… frankly is just a bunch of political rhe…,[],2804
1270342196559065089,2020-06-09 13:09:16,RT @GOP: TUNE IN NOW! https://t.co/4bGKZ0PmQD,[],1722
1270342186010390536,2020-06-09 13:09:13,"RT @GOP: Democrats have taken up a radical push to defund community police forces, which would put the safety and security of all Americans…",[],4963
1270342175616892928,2020-06-09 13:09:11,RT @GOP: “We can't give up the finest law enforcement anywhere in the world. There's nothing like it.” -@realDonaldTrump https://t.co/cNDdQ…,[],3938
1270342164481007616,2020-06-09 13:09:08,RT @sendavidperdue: Americans are ready to get back to work and the economy is ready to rebound! #JobsReport https://t.co/v9aTs0D71r,"[{'text': 'JobsReport', 'indices': [97, 108]}]",2311
1270342154670542849,2020-06-09 13:09:06,RT @JimInhofe: This is great news! The economy is coming back with 2.5 million new jobs in May. The Republican economic plan is working and…,[],2660
1270342141357817857,2020-06-09 13:09:02,"RT @JohnBoozman: Today’s #jobsreport, indicating our economy added 2.5 million jobs in May, is a positive sign for our economic recovery.…","[{'text': 'jobsreport', 'indices': [25, 36]}]",1906
1270342130356101120,2020-06-09 13:09:00,RT @WhiteHouse: LIVE: President @realDonaldTrump holds a news conference https://t.co/qfXa9nMlTD,[],5069
1270342120726040577,2020-06-09 13:08:58,RT @SenateGOP: 🚨 BREAKING 🚨The U.S. economy added 2.5 million jobs in May.That's the BIGGEST JOBS INCREASE EVER! 🥳 🇺🇸 https://t.co/DNvU…,[],3655
1270342108080193536,2020-06-09 13:08:55,RT @realDonaldTrump: A GREAT Senator. Must return to Washington. Steve has my Complete &amp; Total Endorsement!,[],5371
1270342098647158784,2020-06-09 13:08:52,"RT @realDonaldTrump: Vote today for Big Jim, a great Governor. Love West Virginia!",[],6903
1270342088903843841,2020-06-09 13:08:50,RT @realDonaldTrump: NASDAQ HITS ALL-TIME HIGH!,[],14956
1270342074827710464,2020-06-09 13:08:47,RT @EdRollins: Joe Biden now claims he opposes defunding the police.Here’s a list of issues he’s flip-flopped on:AbortionImmigration…,[],5449
1270342040925220866,2020-06-09 13:08:39,"RT @realDonaldTrump: I have retained highly respected pollster, McLaughlin &amp; Associates, to analyze todays CNN Poll (and others), which I f…",[],34063
1270341927704104962,2020-06-09 13:08:12,"RT @realDonaldTrump: Poll: Trump Better Than Biden On Economic Growth, 55% to 34%. That’s all? Who are the 34%?",[],10934
1270341528276340736,2020-06-09 13:06:36,"RT @allantercalivre: @realDonaldTrump Trump, stop the Chinese coup d'etat that President Bolsonaro is suffering.  The Chinese Communist Par…",[],1544
1270341479312097282,2020-06-09 13:06:25,RT @mikandynothem: Mitt Romney is THE most irrelevant man in America today.✔Democrats won't have him.✔Republicans don't want him.America…,[],1180
1270341314157182978,2020-06-09 13:05:45,RT @T_S_P_O_O_K_Y: Pandering is hard...it's harder when your a Catholic and haven't been at a service in decades and you can't get up...,[],635
1270338675210158081,2020-06-09 12:55:16,RT @mikandynothem: Colin Powell isn't voting for @realDonaldTrump...yawn.These three votes going to Biden in November could not be more me…,[],1277
1270338502408970240,2020-06-09 12:54:35,RT @DeAnna4Congress: Throw your masks in the trash &amp; stop the 6 foot distance.We were had!Listen to this:,[],4318
1270338441461534720,2020-06-09 12:54:20,"RT @greg_price11: .@RichardGrenell  on Tucker:""It's no longer a fight between Republicans and Democrats. It's a fight between Washington…",[],3125
1270338286020591616,2020-06-09 12:53:43,RT @JimLyonsMA: Police are not allowed to ride on the MBTA“Our concern is that there is a political fight going on in our country to elimi…,[],27
1270338144647483392,2020-06-09 12:53:10,"RT @WayneDupreeShow: Michelle Obama says those ""tidy American success stories"" are just a cover for mass racism https://t.co/N03q6lH1J4",[],886
1270337941680918528,2020-06-09 12:52:21,The attack on the statues is an attack on the UK itself. It is designed to undermine their heritage and culture a… https://t.co/Et5aOt33qe,[],14
1270337692006592513,2020-06-09 12:51:22,RT @IngrahamAngle: If Americans don’t vote every last one of these vindictive control freak governors out of office they must have an econo…,[],2888
1270337663820877830,2020-06-09 12:51:15,If someone demands that you get on your knees just because of the color of your skin. THEY ARE THE RACIST!,[],35
1270337537630973956,2020-06-09 12:50:45,"RT @laralogan: I remember when I was being gang-raped &amp; beaten by a mob in Egypt, would have been great to have a police force to call then…",[],9586
1270337475391692801,2020-06-09 12:50:30,Socialists hate these words: “We hold these truths to be sacred &amp; undeniable; that all men are created equal &amp; in… https://t.co/85P7ZxlXrb,[],25
1270336003992170508,2020-06-09 12:44:39,Have Speaker Pelosi and Senator Schumer given up their police details yet?,[],38
1270335938389032960,2020-06-09 12:44:24,RT @AmericaVotesUS: Democrat cities that were burning a couple weeks ago now want to defund the police?,[],108
1270335818008313857,2020-06-09 12:43:55,RT @davemyopinion: I am white.I've never owned a slave. I've never attacked a black man on the street. I've never hurled abuse at anyone d…,[],803
1270335772202283025,2020-06-09 12:43:44,RT @LeahR77: Ilhan Omar has achieved her goal . She’s turned Minneapolis into the terrorist shithole she came from !,[],7177
1270335587787079680,2020-06-09 12:43:00,RT @realDonaldTrump: Buffalo protester shoved by Police could be an ANTIFA provocateur. 75 year old Martin Gugino was pushed away after app…,[],16776
1270335524256059392,2020-06-09 12:42:45,@FogCityMidge  I was filming as BLM protested a police station in San Francisco. They asked if anyone else wanted t… https://t.co/SQ5EnESfx0,[],5
1270335410443636742,2020-06-09 12:42:18,"RT @michellemalkin: Dropping straight facts. The crowd doesn't even know how to react! Nice work, @FogCityMidge 🇺🇸🔥",[],654
1270335201957347329,2020-06-09 12:41:28,Kneeling in African scarves will never make up for the damage Democrats have done to black America for the past 175 years.,[],55
1270335152967815171,2020-06-09 12:41:16,RT @charliekirk11: Kneeling in African scarves will never make up for the damage Democrats have done to black America for the past 175 year…,[],14276
1270334624229658625,2020-06-09 12:39:10,RT @EddieDonovan: Describe the Democrat Party in one word.,[],59
